event,disaster_type,year,month,day,full_date,cost,deaths,days_between
Southern Severe Storms and Flooding (April 1980),Flooding,1980,4,10,4/10/1980,2388.8,7,NA
Central/Eastern Drought/Heatwave (Summer-Fall 1980),Drought,1980,6,1,6/1/1980,33867.6,1260,52
Hurricane Allen (August 1980),Tropical Cyclone,1980,8,7,8/7/1980,1994.2,13,67
Florida Freeze (January 1981),Freeze,1981,1,12,1/12/1981,1727.4,0,NA
"Severe Storms, Flash Floods, Hail, Tornadoes (May 1981)",Severe Storm,1981,5,5,5/5/1981,1212.4,20,113
"Midwest/Southeast/Northeast Winter Storm, Cold Wave (January 1982)",Winter Storm,1982,1,8,1/8/1982,1846.9,85,NA
Midwest/Plains/Southeast Tornadoes (April 1982),Severe Storm,1982,4,2,4/2/1982,1348,33,84
Severe Storms (June 1982),Severe Storm,1982,5,31,5/31/1982,1339.2,30,59
Gulf States Storms and Flooding (December 1982-January 1983),Flooding,1982,12,1,12/1/1982,4285.8,45,184
Western Storms & Flooding (December 1982-March 1983),Flooding,1982,12,13,12/13/1982,4183.9,50,12
Southeast Drought (Summer 1983),Drought,1983,6,1,6/1/1983,7973.3,0,NA
Hurricane Alicia (August 1983),Tropical Cyclone,1983,8,17,8/17/1983,8070,21,77
"Freeze, Cold Wave (December 1983)",Freeze,1983,12,15,12/15/1983,5395.7,151,120
"Tornadoes, Severe Storms, Floods (Spring 1984)",Severe Storm,1984,3,27,3/27/1984,1555.9,80,NA
Severe Storms and Hail (June 1984),Severe Storm,1984,6,13,6/13/1984,1151.2,1,78
"Winter Storm, Cold Wave (January 1985)",Winter Storm,1985,1,19,1/19/1985,2083.9,150,NA
Florida Freeze (January 1985),Freeze,1985,1,20,1/20/1985,2988,0,1
Hurricane Elena (September 1985),Tropical Cyclone,1985,8,30,8/30/1985,3230.5,4,222
Hurricane Gloria (September 1985),Tropical Cyclone,1985,9,26,9/26/1985,2131.7,11,27
Hurricane Juan (October 1985),Tropical Cyclone,1985,10,27,10/27/1985,3726.9,63,31
"Virginia, West Virginia, Pennsylvania and Maryland Flooding (November 1985)",Flooding,1985,11,3,11/3/1985,3374,62,7
Western Severe Storms and Flooding (February 1986),Severe Storm,1986,2,14,2/14/1986,1271.4,13,NA
Southeast Drought/Heatwave (Summer 1986),Drought,1986,6,1,6/1/1986,4328.7,100,107
U.S. Drought/Heatwave (Summer 1988),Drought,1988,6,1,6/1/1988,45408.9,454,NA
Severe Storms (May 1989),Severe Storm,1989,5,1,5/1/1989,1196.9,21,NA
Northern Plains Drought (Summer-Fall 1989),Drought,1989,6,1,6/1/1989,6516.8,0,31
Hurricane Hugo (September 1989),Tropical Cyclone,1989,9,21,9/21/1989,19529.8,86,112
"Winter Storm, Cold Wave (December 1989)",Winter Storm,1989,12,21,12/21/1989,1475.3,100,91
Florida Freeze (December 1989),Freeze,1989,12,23,12/23/1989,4340,10,2
Southern Flooding (May 1990),Flooding,1990,5,11,5/11/1990,2074.2,13,NA
Colorado Hail Storm (July 1990),Severe Storm,1990,7,11,7/11/1990,1689.3,0,61
California Freeze (December 1990),Freeze,1990,12,18,12/18/1990,7004,0,160
U.S. Drought (Spring-Summer 1991),Drought,1991,3,1,3/1/1991,5866.6,0,NA
"Severe Storms, Tornadoes (March 1991)",Severe Storm,1991,3,26,3/26/1991,1257.8,0,25
Hurricane Bob (August 1991),Tropical Cyclone,1991,8,18,8/18/1991,2930.8,18,145
Oakland Firestorm (October 1991),Wildfire,1991,10,1,10/1/1991,6435,25,44
Severe Storms (March 1992),Severe Storm,1992,3,24,3/24/1992,1528.3,0,NA
"Hail, Tornadoes (April 1992)",Severe Storm,1992,4,28,4/28/1992,1813.4,0,35
"Severe Storms, Hail (June 1992)",Severe Storm,1992,6,19,6/19/1992,1421.2,0,52
Hurricane Andrew (August 1992),Tropical Cyclone,1992,8,23,8/23/1992,51300,61,65
Hurricane Iniki (September 1992),Tropical Cyclone,1992,9,11,9/11/1992,5890,7,19
Southeast Severe Weather (November 1992),Severe Storm,1992,11,21,11/21/1992,1248.3,26,71
Northeast Winter Storm (December 1992),Winter Storm,1992,12,10,12/10/1992,4717.8,19,19
East Coast Blizzard and Severe Weather (March 1993),Winter Storm,1993,3,11,3/11/1993,10169.8,270,NA
Southeast Drought/Heat Wave (Summer 1993),Drought,1993,6,1,6/1/1993,2314.7,16,82
Midwest Flooding (Summer 1993),Flooding,1993,6,27,6/27/1993,38568.1,48,26
Northern Plains and Ohio Valley Severe Weather (July 1993),Severe Storm,1993,7,8,7/8/1993,1172.1,1,11
California Wildfires (Fall 1993),Wildfire,1993,9,1,9/1/1993,2523.6,4,55
"Winter Storm, Cold Wave (January 1994)",Winter Storm,1994,1,17,1/17/1994,1872,70,NA
Southeast Ice Storm (February 1994),Winter Storm,1994,2,8,2/8/1994,5395.5,9,22
Midwest/Plains Tornadoes (April 1994),Severe Storm,1994,4,25,4/25/1994,1773.3,3,76
Western Fire Season (Summer-Fall 1994),Wildfire,1994,6,1,6/1/1994,1305,0,37
Tropical Storm Alberto (July 1994),Tropical Cyclone,1994,7,7,7/7/1994,1797.3,32,36
Texas Flooding (October 1994),Flooding,1994,10,16,10/16/1994,1800,19,101
California Flooding (January-March 1995),Flooding,1995,1,1,1/1/1995,4375,27,NA
South Plains Severe Weather (May 1995),Severe Storm,1995,5,5,5/5/1995,9601.3,32,124
"Central, Southern and Northeast Drought/Heatwave (September 1995)",Drought,1995,7,1,7/1/1995,1692.5,872,57
Hurricane Erin (August 1995),Tropical Cyclone,1995,8,1,8/1/1995,1487.5,6,31
Hurricane Marilyn (September 1995),Tropical Cyclone,1995,9,15,9/15/1995,3675,13,45
Hurricane Opal (October 1995),Tropical Cyclone,1995,10,4,10/4/1995,8205.8,27,19
Blizzard/Floods (January 1996),Winter Storm,1996,1,1,1/1/1996,5105.3,187,NA
Pacific Northwest Severe Flooding (February 1996),Flooding,1996,2,7,2/7/1996,1714.2,9,37
Southern Plains Drought (Spring-Summer 1996),Drought,1996,3,1,3/1/1996,3045.5,0,23
Hurricane Fran (September 1996),Tropical Cyclone,1996,9,5,9/5/1996,8512,37,188
West Coast Flooding (December 1996-January 1997),Flooding,1997,1,1,1/1/1997,4978.1,36,NA
Northern Plains Flooding (Spring 1997),Flooding,1997,2,3,2/3/1997,6066.2,11,33
Mississippi and Ohio Valley Severe Weather and Flooding (March 1997),Severe Storm,1997,2,28,2/28/1997,1613.1,67,25
Western/Eastern Severe Weather and Flooding (Winter-Spring 1998),Severe Storm,1997,12,1,12/1/1997,1657.6,132,276
Northeast Ice Storm (January 1998),Winter Storm,1998,1,5,1/5/1998,2284.9,16,NA
Minnesota Severe Storms/Hail (May 1998),Severe Storm,1998,5,15,5/15/1998,2658.9,1,130
"Severe Storms, Tornadoes (June 1998)",Severe Storm,1998,5,30,5/30/1998,1855.8,20,15
Southern Drought/Heat Wave (Summer 1998),Drought,1998,6,1,6/1/1998,5750.6,200,2
Tropical Storm Frances (September 1998),Tropical Cyclone,1998,8,8,8/8/1998,1141,2,68
Hurricane Bonnie (August 1998),Tropical Cyclone,1998,8,27,8/27/1998,1597.4,3,19
Hurricane Georges (September 1998),Tropical Cyclone,1998,9,20,9/20/1998,9754.9,16,24
Texas Flooding (October 1998),Flooding,1998,10,16,10/16/1998,1535.6,31,26
California Freeze (December 1998),Freeze,1998,12,20,12/20/1998,4075,0,65
Central and Eastern Winter Storm (January 1999),Winter Storm,1999,1,1,1/1/1999,1652,25,NA
Central and Eastern Winter Storm (Mid-January 1999),Winter Storm,1999,1,13,1/13/1999,1411.2,0,12
Oklahoma and Kansas Tornadoes (May 1999),Severe Storm,1999,5,3,5/3/1999,3219.4,55,110
Eastern Drought/Heatwave (Summer 1999),Drought,1999,6,1,6/1/1999,3998.1,502,29
Hurricane Floyd (September 1999),Tropical Cyclone,1999,9,14,9/14/1999,10385.6,77,105
Southeast Winter Storm (January 2000),Winter Storm,2000,1,21,1/21/2000,1101.4,4,NA
Western Fire Season (Spring-Summer 2000),Wildfire,2000,3,1,3/1/2000,1677,0,40
Western/Central/Southeast Drought/Heatwave (Spring-Fall 2000),Drought,2000,3,1,3/1/2000,7795.6,140,0
Southern Severe Weather (March 2000),Severe Storm,2000,3,28,3/28/2000,1062.6,0,27
South Florida Flooding (October 2000),Flooding,2000,10,3,10/3/2000,1404,3,189
Midwest/Ohio Valley Hail and Tornadoes (April 2001),Severe Storm,2001,4,6,4/6/2001,4642.3,3,NA
Tropical Storm Allison (June 2001),Tropical Cyclone,2001,6,5,6/5/2001,12783,43,60
U.S. Drought (Spring-Fall 2002),Drought,2002,3,1,3/1/2002,13419.7,0,NA
Severe Storms and Tornadoes (April 2002),Severe Storm,2002,4,27,4/27/2002,3119.8,7,57
Hurricane Lili (October 2002),Tropical Cyclone,2002,8,1,8/1/2002,1645.7,2,96
Western Fire Season (Fall 2002),Wildfire,2002,9,1,9/1/2002,1971.1,21,31
Tropical Storm Isidore (September 2002),Tropical Cyclone,2002,9,25,9/25/2002,1667.5,5,24
Eastern Tornadoes and Severe Storms (November 2002),Severe Storm,2002,11,9,11/9/2002,1044.1,28,45
Western/Central Drought/Heatwave (Spring-Fall 2003),Drought,2003,3,1,3/1/2003,7275.6,35,NA
Severe Storms/Hail (April 2003),Severe Storm,2003,4,4,4/4/2003,2909,3,34
Severe Storms/Tornadoes (May 2003),Severe Storm,2003,5,3,5/3/2003,5986.5,51,29
Midwest/Plains Severe Weather (July 2003),Severe Storm,2003,7,4,7/4/2003,1244.2,7,62
Severe Weather (July 2003),Severe Storm,2003,7,21,7/21/2003,1462.1,7,17
California Wildfires (Fall 2003),Wildfire,2003,9,1,9/1/2003,5640.9,22,42
Hurricane Isabel (September 2003),Tropical Cyclone,2003,9,18,9/18/2003,7951.8,55,17
"Severe Storms, Hail, Tornadoes (May 2004)",Severe Storm,2004,5,21,5/21/2004,1439.8,4,NA
Hurricane Charley (August 2004),Tropical Cyclone,2004,8,13,8/13/2004,22719.3,35,84
Hurricane Frances (September 2004),Tropical Cyclone,2004,9,3,9/3/2004,13916,48,21
Hurricane Ivan (September 2004),Tropical Cyclone,2004,9,12,9/12/2004,29110.9,57,9
Hurricane Jeanne (September 2004),Tropical Cyclone,2004,9,15,9/15/2004,10645.3,28,3
Midwest Drought (Spring-Summer 2005),Drought,2005,3,1,3/1/2005,2035.2,0,NA
Southeast Severe Weather (March 2005),Severe Storm,2005,3,24,3/24/2005,1193.7,0,23
Hurricane Dennis (July 2005),Tropical Cyclone,2005,7,9,7/9/2005,3443.1,15,107
Hurricane Katrina (August 2005),Tropical Cyclone,2005,8,25,8/25/2005,172540.6,1833,47
Hurricane Rita (September 2005),Tropical Cyclone,2005,9,20,9/20/2005,25530.1,119,26
Hurricane Wilma (October 2005),Tropical Cyclone,2005,10,24,10/24/2005,26220,35,34
Numerous Wildfires (2006),Wildfire,2006,1,1,1/1/2006,1951.4,28,NA
Midwest/Plains/Southeast Drought (Spring-Summer 2006),Drought,2006,3,1,3/1/2006,7977.2,0,59
Severe Storms and Tornadoes (March 2006),Severe Storm,2006,3,8,3/8/2006,1779.1,10,7
"Midwest/Southeast Tornadoes (April 6-8, 2006)",Severe Storm,2006,4,6,4/6/2006,2133.2,10,29
Midwest Tornadoes (April 2006),Severe Storm,2006,4,13,4/13/2006,3223.3,27,7
Northeast Flooding (June 2006),Flooding,2006,6,25,6/25/2006,2023.8,20,73
Central Severe Weather (October 2006),Severe Storm,2006,10,2,10/2/2006,1169.1,1,99
California Freeze (January 2007),Freeze,2007,1,11,1/11/2007,1820,1,NA
Spring Freeze (April 2007),Freeze,2007,4,4,4/4/2007,2657.2,0,83
East/South Severe Weather and Flooding (April 2007),Severe Storm,2007,4,13,4/13/2007,3260.2,9,9
Western Wildfires (Summer 2007),Wildfire,2007,6,1,6/1/2007,3563.8,12,49
Western/Eastern Drought/Heatwave (Summer-Fall 2007),Drought,2007,6,1,6/1/2007,4599.7,15,0
U.S. Drought (2008),Drought,2008,1,1,1/1/2008,8762.3,0,NA
"Western, Central and Northeast Severe Weather (January 2008)",Severe Storm,2008,1,4,1/4/2008,1227.8,12,3
Southeast Tornadoes and Severe Weather (February 2008),Severe Storm,2008,2,5,2/5/2008,1514.7,57,32
Southeast Tornadoes (March 2008),Severe Storm,2008,3,14,3/14/2008,1413.8,5,38
Midwest Flooding (Summer 2008),Flooding,2008,4,1,4/1/2008,12448.3,24,18
Southern Severe Weather (April 2008),Severe Storm,2008,4,9,4/9/2008,1299.6,2,8
Midwest Tornadoes and Severe Weather (May 2008),Severe Storm,2008,5,22,5/22/2008,3786.8,13,43
Midwest/Mid-Atlantic Severe Weather (June 2008),Severe Storm,2008,6,6,6/6/2008,2045,18,15
Hurricane Dolly (July 2008),Tropical Cyclone,2008,7,23,7/23/2008,1584.1,3,47
Hurricane Gustav (September 2008),Tropical Cyclone,2008,8,31,8/31/2008,7496.3,53,39
U.S. Wildfires (Fall 2008),Wildfire,2008,9,1,9/1/2008,1542.5,16,1
Hurricane Ike (September 2008),Tropical Cyclone,2008,9,12,9/12/2008,37498.5,112,11
Southwest/Great Plains Drought (2009),Drought,2009,1,1,1/1/2009,4365,0,NA
Southeast/Ohio Valley Severe Weather (February 2009),Severe Storm,2009,2,10,2/10/2009,2175.4,10,40
Midwest/Southeast Tornadoes (March 2009),Severe Storm,2009,3,25,3/25/2009,2050.7,0,43
South/Southeast Severe Weather & Tornadoes (April 2009),Severe Storm,2009,4,9,4/9/2009,1787.8,6,15
Central Tornadoes and Severe Weather (May 2009),Severe Storm,2009,5,7,5/7/2009,1059.1,7,28
Western Wildfires (Summer-Fall 2009),Wildfire,2009,6,1,6/1/2009,1264.9,10,25
"Midwest, South and East Severe Weather (June 2009)",Severe Storm,2009,6,9,6/9/2009,1660.3,0,8
Colorado Hail Storm (July 2009),Severe Storm,2009,7,20,7/20/2009,1250,0,41
Northeast Winter Storm (February 2010),Winter Storm,2010,2,9,2/9/2010,988.7,3,NA
Northeast Flooding (March 2010),Flooding,2010,3,1,3/1/2010,2231.5,11,20
East/South Flooding and Severe Weather (May 2010),Flooding,2010,4,30,4/30/2010,2742.3,32,60
"Oklahoma, Kansas, and Texas Tornadoes and Severe Weather (May 2010)",Severe Storm,2010,5,10,5/10/2010,4034,3,10
Rockies/Central/East Severe Weather (June 2010),Severe Storm,2010,6,10,6/10/2010,1090.3,2,31
Midwest/Northeast Severe Storms and Flooding (July 2010),Severe Storm,2010,7,20,7/20/2010,1147.5,0,40
Arizona Severe Weather (October 2010),Severe Storm,2010,10,5,10/5/2010,4598,0,77
Groundhog Day Blizzard (February 2011),Winter Storm,2011,2,1,2/1/2011,2135.1,36,NA
